,Event,Event_encode
752,"Wrestling Men's Featherweight, Greco-Roman",349
760,Table Tennis Men's Singles,302
777,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",245
789,Judo Men's Open Class,182
791,Rowing Women's Quadruple Sculls,212
801,Athletics Women's Pentathlon,51
818,Weightlifting Women's Middleweight,344
822,"Swimming Men's 1,500 metres Freestyle",264
823,"Wrestling Women's Light-Heavyweight, Freestyle",369
833,Athletics Women's High Jump,47
846,"Canoeing Women's Kayak Fours, 500 metres",96
851,"Cycling Men's Team Pursuit, 4,000 metres",113
852,Sailing Men's One Person Dinghy,216
867,Trampolining Women's Individual,321
888,Judo Men's Middleweight,181
897,Judo Men's Half-Lightweight,177
918,"Fencing Women's Foil, Team",148
919,Swimming Women's 200 metres Butterfly,288
920,Swimming Women's 400 metres Individual Medley,295
928,Athletics Men's 20 kilometres Walk,8
936,Judo Men's Half-Heavyweight,176
938,Archery Women's Team,3
944,Athletics Men's 50 kilometres Walk,16
947,Rowing Women's Double Sculls,210
952,Boxing Men's Light-Heavyweight,70
953,Boxing Women's Flyweight,77
955,Athletics Women's 100 metres Hurdles,32
979,Sailing Mixed One Person Dinghy,224
987,"Wrestling Women's Heavyweight, Freestyle",368
988,Badminton Mixed Doubles,57
998,Sailing Mixed Two Person Keelboat,229
1019,Table Tennis Men's Doubles,301
1026,"Wrestling Men's Light-Flyweight, Freestyle",354
1028,"Wrestling Women's Featherweight, Freestyle",366
1029,Swimming Women's 200 metres Freestyle,289
1030,Swimming Women's 400 metres Freestyle,294
1031,Swimming Women's 200 metres Individual Medley,290
1039,Sailing Men's Windsurfer,221
1043,Rugby Sevens Men's Rugby Sevens,214
1061,"Wrestling Women's Lightweight, Freestyle",370
1085,Modern Pentathlon Women's Individual,192
1097,"Canoeing Men's Canadian Doubles, Slalom",82
1100,Judo Women's Half-Lightweight,185
1120,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",254
1121,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",253
1123,Swimming Women's 800 metres Freestyle,297
1126,Sailing Women's Two Person Dinghy,234
1186,Athletics Women's Discus Throw,44
1214,Athletics Women's Heptathlon,46
1215,Cycling Men's Points Race,109
1216,Synchronized Swimming Women's Solo,299
1219,"Equestrianism Mixed Dressage, Individual",135
1220,"Equestrianism Mixed Dressage, Team",136
1276,Swimming Men's 100 metres Breaststroke,267
1314,"Shooting Mixed Free Pistol, 50 metres",248
1319,"Fencing Women's Foil, Individual",147
1323,Sailing Women's Skiff,232
1369,Triathlon Men's Olympic Distance,322
1373,Sailing Women's One Person Dinghy,231
1390,Beach Volleyball Women's Beach Volleyball,64
1393,Weightlifting Men's Super-Heavyweight,338
1403,Rowing Men's Lightweight Coxless Fours,201
1433,"Wrestling Men's Light-Flyweight, Greco-Roman",355
1436,Golf Men's Individual,155
1447,"Canoeing Men's Canadian Singles, 1,000 metres",83
1451,Sailing Mixed 5.5 metres,222
1481,"Equestrianism Mixed Jumping, Team",138
1491,Diving Men's Synchronized Platform,129
1504,"Canoeing Women's Kayak Singles, Slalom",99
1505,Weightlifting Women's Flyweight,340
1507,Swimming Women's 100 metres Breaststroke,283
1508,Swimming Women's 200 metres Breaststroke,287
1553,Shooting Men's Trap,247
1582,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",260
1587,Swimming Women's 100 metres Butterfly,284
1620,Weightlifting Men's Heavyweight I,332
1632,"Athletics Women's 3,000 metres Steeplechase",36
1657,Shooting Women's Trap,262
1662,Badminton Men's Doubles,55
1676,Swimming Women's 4 x 200 metres Freestyle Relay,293
1684,Rowing Men's Single Sculls,204
1693,Athletics Women's 20 kilometres Walk,33
1701,Athletics Women's 80 metres Hurdles,42
1722,Sailing Men's One Person Heavyweight Dinghy,217
1763,Cycling Men's Madison,106
1787,Weightlifting Men's Heavyweight II,333
1826,"Canoeing Women's Kayak Doubles, 500 metres",95
1863,Cycling Men's Individual Time Trial,104
1871,Judo Women's Heavyweight,187
1883,"Wrestling Men's Super-Heavyweight, Freestyle",362
2012,"Fencing Women's Sabre, Team",150
2014,Swimming Women's 100 metres Freestyle,285
2077,Shooting Men's Double Trap,238
2227,Weightlifting Men's Bantamweight,328
2229,Taekwondo Men's Heavyweight,309
2388,Sailing Mixed Windsurfer,230
2455,Taekwondo Women's Welterweight,314
2728,"Shooting Mixed Free Rifle, Three Positions, 300 metres",249
2826,"Shooting Mixed Rapid-Fire Pistol, 25 metres",250
2867,"Canoeing Men's Canadian Singles, Slalom",86
2904,Sailing Mixed Multihull,223
2906,Badminton Women's Doubles,58
2925,Diving Women's Synchronized Platform,133
2936,Athletics Women's Triple Jump,54
3067,Boxing Women's Lightweight,78
3069,Cycling Women's BMX,116
3084,"Canoeing Men's Kayak Doubles, 200 metres",88
3085,"Canoeing Men's Kayak Doubles, 1,000 metres",87
3212,"Canoeing Women's Kayak Singles, 500 metres",98
3236,Athletics Women's 10 kilometres Walk,29
3299,Judo Women's Extra-Lightweight,183
3352,Diving Men's Synchronized Springboard,130
3430,Sailing Mixed Two Person Dinghy,227
3495,"Shooting Men's Running Target, 10 metres",242
3564,Cycling Men's BMX,102
3982,Judo Women's Middleweight,189
3990,Judo Women's Lightweight,188
4051,"Canoeing Women's Kayak Singles, 200 metres",97
4080,Tennis Women's Singles,319
4438,Rowing Women's Coxed Fours,206
4503,"Canoeing Men's Canadian Singles, 500 metres",85
4543,"Fencing Women's epee, Team",152
4573,Sailing Mixed Skiff,225
4636,"Shooting Men's Free Rifle, Three Positions, 300 metres",240
4647,Swimming Women's 10 kilometres Open Water,281
4808,Boxing Women's Middleweight,79
4846,Sailing Men's Skiff,218
4916,Shooting Women's Skeet,259
5203,Tennis Women's Doubles,318
5262,Cycling Women's Team Pursuit,125
5356,"Shooting Mixed Running Target, 50 metres",251
5441,Cycling Women's Individual Time Trial,118
5491,"Fencing Women's Sabre, Individual",149
5699,Cycling Men's Omnium,108
6120,"Cycling Women's Individual Pursuit, 3,000 metres",117
6121,Cycling Women's Points Race,122
6212,Sailing Men's Two Person Keelboat,220
6286,Cycling Men's Keirin,105
6287,Cycling Men's Team Sprint,114
6426,Tennis Mixed Doubles,317
6594,Golf Women's Individual,156
7017,"Wrestling Women's Flyweight, Freestyle",367
7315,Swimming Men's 10 kilometres Open Water,265
7906,"Wrestling Women's Middleweight, Freestyle",371
8375,Table Tennis Women's Team,306
8429,Athletics Women's Hammer Throw,45
8474,"Canoeing Men's Kayak Singles, 200 metres",92
8553,"Cycling Men's Tandem Sprint, 2,000 metres",112
8683,Shooting Women's Double Trap,258
9378,Rowing Women's Coxless Fours,208
10461,Cycling Women's Keirin,119
11719,"Canoeing Men's Canadian Singles, 200 metres",84
12652,Cycling Women's Omnium,121
20277,Cycling Women's Team Sprint,126
